Date,Canada_EST_DST,US_EST_DST
1910-11-21_00:50:00.0,false,false
1911-11-21_00:50:00.0,false,false
1912-11-21_00:50:00.0,false,false
1913-11-21_00:50:00.0,false,false
1914-11-21_00:50:00.0,false,false
1915-11-21_00:50:00.0,false,false
1916-11-21_00:50:00.0,false,false
1917-11-21_00:50:00.0,false,false
1918-11-21_00:50:00.0,false,false
1919-11-21_00:50:00.0,false,false
1920-11-21_00:50:00.0,false,false
1921-11-21_00:50:00.0,false,false
1922-11-21_00:50:00.0,false,false
1923-11-21_00:50:00.0,false,false
1924-11-21_00:50:00.0,false,false
1925-11-21_00:50:00.0,false,false
1926-11-21_00:50:00.0,false,false
1927-11-21_00:50:00.0,false,false
1928-11-21_00:50:00.0,false,false
1929-11-21_00:50:00.0,false,false
1930-11-21_00:50:00.0,false,false
1931-11-21_00:50:00.0,false,false
1932-11-21_00:50:00.0,false,false
1933-11-21_00:50:00.0,false,false
1934-11-21_00:50:00.0,false,false
1935-11-21_00:50:00.0,false,false
1936-11-21_00:50:00.0,false,false
1937-11-21_00:50:00.0,false,false
1938-11-21_00:50:00.0,false,false
1939-11-21_00:50:00.0,false,false
1940-11-21_00:50:00.0,true,false
1941-11-21_00:50:00.0,true,false
1942-11-21_00:50:00.0,true,true
1943-11-21_00:50:00.0,true,true
1944-11-21_00:50:00.0,true,true
1945-11-21_00:50:00.0,false,false
1946-11-21_00:50:00.0,false,false
1947-11-21_00:50:00.0,false,false
1948-11-21_00:50:00.0,false,false
1949-11-21_00:50:00.0,true,false
1950-11-21_00:50:00.0,true,false
1951-11-21_00:50:00.0,false,false
1952-11-21_00:50:00.0,false,false
1953-11-21_00:50:00.0,false,false
1954-11-21_00:50:00.0,false,false
1955-11-21_00:50:00.0,false,false
1956-11-21_00:50:00.0,false,false
1957-11-21_00:50:00.0,false,false
1958-11-21_00:50:00.0,false,false
1959-11-21_00:50:00.0,false,false
1960-11-21_00:50:00.0,false,false
1961-11-21_00:50:00.0,false,false
1962-11-21_00:50:00.0,false,false
1963-11-21_00:50:00.0,false,false
1964-11-21_00:50:00.0,false,false
1965-11-21_00:50:00.0,false,false
1966-11-21_00:50:00.0,false,false
1967-11-21_00:50:00.0,false,false
1968-11-21_00:50:00.0,false,false
1969-11-21_00:50:00.0,false,false
1970-11-21_00:50:00.0,false,false
1971-11-21_00:50:00.0,false,false
1972-11-21_00:50:00.0,false,false
1973-11-21_00:50:00.0,false,false
1974-11-21_00:50:00.0,false,false
1975-11-21_00:50:00.0,false,false
1976-11-21_00:50:00.0,false,false
1977-11-21_00:50:00.0,false,false
1978-11-21_00:50:00.0,false,false
1979-11-21_00:50:00.0,false,false
1980-11-21_00:50:00.0,false,false
1981-11-21_00:50:00.0,false,false
1982-11-21_00:50:00.0,false,false
1983-11-21_00:50:00.0,false,false
1984-11-21_00:50:00.0,false,false
1985-11-21_00:50:00.0,false,false
1986-11-21_00:50:00.0,false,false
1987-11-21_00:50:00.0,false,false
1988-11-21_00:50:00.0,false,false
1989-11-21_00:50:00.0,false,false
1990-11-21_00:50:00.0,false,false
1991-11-21_00:50:00.0,false,false
1992-11-21_00:50:00.0,false,false
1993-11-21_00:50:00.0,false,false
1994-11-21_00:50:00.0,false,false
1995-11-21_00:50:00.0,false,false
1996-11-21_00:50:00.0,false,false
1997-11-21_00:50:00.0,false,false
1998-11-21_00:50:00.0,false,false
1999-11-21_00:50:00.0,false,false
2000-11-21_00:50:00.0,false,false
2001-11-21_00:50:00.0,false,false
2002-11-21_00:50:00.0,false,false
2003-11-21_00:50:00.0,false,false
2004-11-21_00:50:00.0,false,false
2005-11-21_00:50:00.0,false,false
2006-11-21_00:50:00.0,false,false
2007-11-21_00:50:00.0,false,false
2008-11-21_00:50:00.0,false,false
2009-11-21_00:50:00.0,false,false
2010-11-21_00:50:00.0,false,false
2011-11-21_00:50:00.0,false,false
2012-11-21_00:50:00.0,false,false
2013-11-21_00:50:00.0,false,false
2014-11-21_00:50:00.0,false,false
2015-11-21_00:50:00.0,false,false
